  x,y,z,rho,u,v,w,p
    -0.734103,      0.411118,      0.000000,      0.703106,    161.261566,    288.107788,      0.000000,  49833.648438
    -0.725888,      0.425453,      0.000000,      0.702847,    166.912033,    284.897644,      0.000000,  49817.937500
    -0.717392,      0.439621,      0.000000,      0.702619,    172.492538,    281.563232,      0.000000,  49805.378906
    -0.708622,      0.453620,      0.000000,      0.702427,    177.997192,    278.109253,      0.000000,  49796.191406
    -0.699585,      0.467448,      0.000000,      0.702263,    183.423874,    274.541718,      0.000000,  49789.867188
    -0.690268,      0.481091,      0.000000,      0.702119,    188.772812,    270.865448,      0.000000,  49785.476562
    -0.680688,      0.494553,      0.000000,      0.701987,    194.043564,    267.084045,      0.000000,  49782.214844
    -0.670852,      0.507817,      0.000000,      0.701861,    199.236481,    263.198792,      0.000000,  49779.621094
    -0.660747,      0.520896,      0.000000,      0.701740,    204.349594,    259.212646,      0.000000,  49777.390625
    -0.650396,      0.533761,      0.000000,      0.701621,    209.381088,    255.127914,      0.000000,  49775.382812
    -0.639787,      0.546434,      0.000000,      0.701503,    214.329788,    250.947083,      0.000000,  49773.382812
    -0.628941,      0.558886,      0.000000,      0.701383,    219.194595,    246.672623,      0.000000,  49771.191406
    -0.617845,      0.571128,      0.000000,      0.701258,    223.976639,    242.305176,      0.000000,  49768.492188
    -0.606508,      0.583150,      0.000000,      0.701126,    228.673676,    237.847458,      0.000000,  49765.089844
    -0.594949,      0.594949,      0.000000,      0.700986,    233.284744,    233.300018,      0.000000,  49760.914062
    -0.583150,      0.606508,      0.000000,      0.700840,    237.808533,    228.661987,      0.000000,  49756.105469
    -0.571128,      0.617845,      0.000000,      0.700691,    242.241440,    223.935242,      0.000000,  49750.992188
    -0.558886,      0.628941,      0.000000,      0.700542,    246.578873,    219.123337,      0.000000,  49745.835938
    -0.546434,      0.639787,      0.000000,      0.700395,    250.819443,    214.227539,      0.000000,  49740.828125
    -0.533761,      0.650396,      0.000000,      0.700248,    254.961639,    209.251511,      0.000000,  49735.898438
    -0.520896,      0.660747,      0.000000,      0.700100,    259.005402,    204.197937,      0.000000,  49730.707031
    -0.507817,      0.670852,      0.000000,      0.699945,    262.951233,    199.069077,      0.000000,  49724.867188
    -0.494553,      0.680688,      0.000000,      0.699780,    266.799042,    193.867111,      0.000000,  49718.023438
    -0.481091,      0.690268,      0.000000,      0.699602,    270.549316,    188.592468,      0.000000,  49709.921875
    -0.467448,      0.699585,      0.000000,      0.699410,    274.200684,    183.248428,      0.000000,  49700.332031
    -0.453620,      0.708622,      0.000000,      0.699202,    277.751923,    177.836761,      0.000000,  49689.179688
    -0.439621,      0.717392,      0.000000,      0.698978,    281.202026,    172.360229,      0.000000,  49676.417969
    -0.425453,      0.725888,      0.000000,      0.698735,    284.551849,    166.821732,      0.000000,  49661.734375
    -0.411118,      0.734103,      0.000000,      0.698466,    287.803009,    161.223572,      0.000000,  49644.523438
    -0.396626,      0.742032,      0.000000,      0.698167,    290.956757,    155.565918,      0.000000,  49624.234375
    -0.381976,      0.749679,      0.000000,      0.697835,    294.011292,    149.850418,      0.000000,  49600.722656
    -0.367188,      0.757031,      0.000000,      0.697472,    296.963654,    144.079620,      0.000000,  49574.179688
    -0.352253,      0.764089,      0.000000,      0.697082,    299.812286,    138.255951,      0.000000,  49544.855469
    -0.337183,      0.770862,      0.000000,      0.696663,    302.556976,    132.385468,      0.000000,  49512.558594
    -0.321984,      0.777330,      0.000000,      0.696207,    305.200439,    126.471985,      0.000000,  49476.628906
    -0.306661,      0.783502,      0.000000,      0.695705,    307.746735,    120.516335,      0.000000,  49436.066406
    -0.291213,      0.789372,      0.000000,      0.695146,    310.198822,    114.521042,      0.000000,  49389.925781
